first_block_height_in_kth_adjustment_list,last_block_height_in_kth_adjustment,total_t,avg_t_min,avg_t_sec,block_difficulty,estimated_hash_rate
308448,310463,19558.366666666672,9.70157076719577,582.0942460317463,16818461371.16111,1.2409458099030366e+17
310464,312479,18701.333333333307,9.276455026455013,556.5873015873008,17336316978.50783,1.3377760190258632e+17
312480,314495,19144.93333333335,9.496494708994717,569.7896825396831,18736441558.31024,1.4123176709285755e+17
314496,316511,16686.06666666666,8.276818783068778,496.6091269841267,19729645940.57713,1.706335616323589e+17
316512,318527,17535.03333333336,8.697933201058213,521.8759920634927,23844670038.8033,1.9623833929519315e+17
318528,320543,18538.683333333356,9.195775462962974,551.7465277777784,27428630902.25787,2.1351302956762736e+17
320544,322559,17341.583333333318,8.601975859788352,516.1185515873011,29829733124.04042,2.482331391153075e+17
322560,324575,19966.86666666663,9.904199735449717,594.2519841269831,34661425923.97694,2.5051610217997392e+17
324576,326591,19608.750000000004,9.726562500000002,583.5937500000001,35002482026.13323,2.5760131183904902e+17
326592,328607,18334.50000000004,9.094494047619067,545.669642857144,35985640265.07623,2.8324307589269018e+17
328608,330623,19814.01666666669,9.828381283068794,589.7028769841277,39603666252.41841,2.8844433017818605e+17
330624,332639,20337.33333333333,10.08796296296296,605.2777777777776,40300030327.8914,2.859634347085665e+17
332640,334655,20443.166666666642,10.140459656084644,608.4275793650786,40007470271.27126,2.824177966917861e+17
334656,336671,19587.433333333363,9.715988756613772,582.9593253968263,39457671307.13873,2.907053724976762e+17
336672,338687,18635.983333333395,9.244039351851884,554.642361111113,40640955016.57649,3.1471013559931603e+17
338688,340703,21486.71666666663,10.658093584656067,639.485615079364,43971662056.08958,2.953261903447673e+17
340704,342719,18719.733333333337,9.285582010582013,557.1349206349208,41272873894.69702,3.1817363626685037e+17
342720,344735,19205.183333333338,9.526380621693123,571.5828373015873,44455415962.3438,3.340452953236578e+17
344736,346751,19855.333333333318,9.848875661375654,590.9325396825393,46684376316.86029,3.393075453634499e+17
346752,348767,20476.099999999988,10.156795634920629,609.4077380952377,47427554950.6483,3.342586329457525e+17
348768,350783,19051.78333333333,9.45028935185185,567.0173611111111,46717549644.70642,3.5386984885274374e+17
